player_name,player_code,image_url,profile_url
devin-booker,007056,https://media-cdn.cortextech.io/ea98130c-13f1-4e0b-b8d9-353132cd5816.png,https://www.euroleaguebasketball.net/es/euroleague/players/devin-booker/007056/
mitar-bosnjakovic,012167,https://media-cdn.cortextech.io/8735ac59-4000-4c04-9d53-632356eab964.png,https://www.euroleaguebasketball.net/es/euroleague/players/mitar-bosnjakovic/012167/
brandon-boston-jr-,014016,,https://www.euroleaguebasketball.net/es/euroleague/players/brandon-boston-jr-/014016/
joaquim-boumtje-boumtje,014130,https://media-cdn.cortextech.io/7c98507a-45bb-4e84-a9fb-590b84ed5a37.png,https://www.euroleaguebasketball.net/es/euroleague/players/joaquim-boumtje-boumtje/014130/
ignas-brazdeikis,011983,https://media-cdn.cortextech.io/32aea757-dc80-4848-82f4-525b77e0eb0d.png,https://www.euroleaguebasketball.net/es/euroleague/players/ignas-brazdeikis/011983/
o-shae-j-brissett,014127,,https://www.euroleaguebasketball.net/es/euroleague/players/o-shae-j-brissett/014127/
dario-brizuela,009992,https://media-cdn.cortextech.io/eaddc1f6-0aec-49e2-8c65-e0a3b8b2cfe3.png,https://www.euroleaguebasketball.net/es/euroleague/players/dario-brizuela/009992/
armoni-brooks,013384,https://media-cdn.cortextech.io/8c4d5e17-01aa-4f77-99b1-207d7c82d195.png,https://www.euroleaguebasketball.net/es/euroleague/players/armoni-brooks/013384/
lorenzo-brown,009622,https://media-cdn.cortextech.io/8c072cdd-59ae-4c44-8388-6a1903cd239e.png,https://www.euroleaguebasketball.net/es/euroleague/players/lorenzo-brown/009622/
sterling-brown,012720,https://media-cdn.cortextech.io/7e089e46-481e-44e5-9fa0-192215101609.png,https://www.euroleaguebasketball.net/es/euroleague/players/sterling-brown/012720/
elijah-bryant,009846,https://media-cdn.cortextech.io/c344f0a6-f545-4bfe-b59b-61f8ccce3c0e.png,https://www.euroleaguebasketball.net/es/euroleague/players/elijah-bryant/009846/
arnas-butkevicius,002676,https://media-cdn.cortextech.io/141e5608-9388-4c11-96ed-fbe12fa4a1bf.png,https://www.euroleaguebasketball.net/es/euroleague/players/arnas-butkevicius/002676/
jared-butler,014163,https://media-cdn.cortextech.io/926f8dbb-c1ff-46cc-a86e-3a68f78a11f9.png,https://www.euroleaguebasketball.net/es/euroleague/players/jared-butler/014163/
bruno-caboclo,012096,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCbqcg0/8fa532db-fe10-413f-98d1-627e7df8d7e9.png,https://www.euroleaguebasketball.net/es/euroleague/players/bruno-caboclo/012096/
nick-calathes,001932,https://media-cdn.cortextech.io/485a2561-f9f3-4ba8-b5b8-1631294c4c99.png,https://www.euroleaguebasketball.net/es/euroleague/players/nick-calathes/001932/
myles-cale,013269,https://media-cdn.cortextech.io/6e507052-0ca4-4ca4-8148-256d2ebd97fc.png,https://www.euroleaguebasketball.net/es/euroleague/players/myles-cale/013269/
facundo-campazzo,005928,https://media-cdn.cortextech.io/c5274543-662b-4958-b6fa-3bf42b944255.png,https://www.euroleaguebasketball.net/es/euroleague/players/facundo-campazzo/005928/
isaiah-canaan,010612,https://media-cdn.cortextech.io/b6e0f4a8-c734-42b7-86d4-333594b9020b.png,https://www.euroleaguebasketball.net/es/euroleague/players/isaiah-canaan/010612/
jorge-carot,011369,https://media-cdn.cortextech.io/dca5f0a2-639c-44ef-9309-d416c633d274.png,https://www.euroleaguebasketball.net/es/euroleague/players/jorge-carot/011369/
tyson-carter,011305,https://media-cdn.cortextech.io/5fc0955e-a1d4-4815-9570-ec96ab919f97.png,https://www.euroleaguebasketball.net/es/euroleague/players/tyson-carter/011305/
leopold-cavaliere,013373,https://media-cdn.cortextech.io/1c8b9667-d931-4ace-ac5e-792f58d25cf4.png,https://www.euroleaguebasketball.net/es/euroleague/players/leopold-cavaliere/013373/
mattia-ceccato,012925,,https://www.euroleaguebasketball.net/es/euroleague/players/mattia-ceccato/012925/
jimmy-clark-iii,013699,https://media-cdn.cortextech.io/fc0e527c-4d5c-479e-a067-3701084cf554.png,https://www.euroleaguebasketball.net/es/euroleague/players/jimmy-clark-iii/013699/
will-clyburn,004888,https://media-cdn.cortextech.io/26d7203d-d138-432c-8d49-16af75d6895e.png,https://www.euroleaguebasketball.net/es/euroleague/players/will-clyburn/004888/
bonzie-colson,009783,https://media-cdn.cortextech.io/3fa1da27-0721-4274-9d43-26910bec0f2d.png,https://www.euroleaguebasketball.net/es/euroleague/players/bonzie-colson/009783/
isaia-cordinier,009549,https://media-cdn.cortextech.io/b9885dd5-53ca-4f41-96f7-4b7f1c8c4d5a.png,https://www.euroleaguebasketball.net/es/euroleague/players/isaia-cordinier/009549/
matthew-costello,010444,https://media-cdn.cortextech.io/daa41d29-1915-4021-b276-aff41df0b04b.png,https://www.euroleaguebasketball.net/es/euroleague/players/matthew-costello/010444/
oscar-da-silva,011244,https://media-cdn.cortextech.io/1cd31b45-1360-4dc2-a279-504d2a1c44e8.png,https://www.euroleaguebasketball.net/es/euroleague/players/oscar-da-silva/011244/
mohamed-dabone,013155,https://media-cdn.cortextech.io/c6831719-f974-4475-9d15-459553594b0e.png,https://www.euroleaguebasketball.net/es/euroleague/players/mohamed-dabone/013155/
nemanja-dangubic,005942,https://media-cdn.cortextech.io/d79a6b0a-c9e6-45d7-b907-849e1ae9202f.png,https://www.euroleaguebasketball.net/es/euroleague/players/nemanja-dangubic/005942/
uros-danilovic,012453,,https://www.euroleaguebasketball.net/es/euroleague/players/uros-danilovic/012453/
dominykas-daubaris,012185,https://media-cdn.cortextech.io/4b1cd7c8-4f09-413e-b9aa-39601dbc0f86.png,https://www.euroleaguebasketball.net/es/euroleague/players/dominykas-daubaris/012185/
dejan-davidovac,007960,https://media-cdn.cortextech.io/1f3790c6-a754-4e43-b322-9c50695d71d5.png,https://www.euroleaguebasketball.net/es/euroleague/players/dejan-davidovac/007960/
nando-de-colo,002100,https://media-cdn.cortextech.io/768e4710-28ed-4e85-b513-3b5f613b9eb2.png,https://www.euroleaguebasketball.net/es/euroleague/players/nando-de-colo/002100/
sergio-de-larrea,010750,https://media-cdn.cortextech.io/5c52e29f-09dd-45b3-ae82-a839d68146f7.png,https://www.euroleaguebasketball.net/es/euroleague/players/sergio-de-larrea/010750/
gabriel-deck,009005,https://media-cdn.cortextech.io/85e6487b-9481-4012-87d5-807d4ae81b30.png,https://www.euroleaguebasketball.net/es/euroleague/players/gabriel-deck/009005/
brice-dessert,010318,https://media-cdn.cortextech.io/c8e7af8c-604f-4412-bcea-f9519c87c1f7.png,https://www.euroleaguebasketball.net/es/euroleague/players/brice-dessert/010318/
mamadi-diakite,014027,https://media-cdn.cortextech.io/eedc9090-ac8a-4063-8763-0849554a22e1.png,https://www.euroleaguebasketball.net/es/euroleague/players/mamadi-diakite/014027/
alpha-diallo,011226,https://media-cdn.cortextech.io/62623d1f-4407-49ac-a0a8-5924cc103e8a.png,https://www.euroleaguebasketball.net/es/euroleague/players/alpha-diallo/011226/
chiek-diallo,014104,,https://www.euroleaguebasketball.net/es/euroleague/players/chiek-diallo/014104/
aliou-diarra,014108,https://media-cdn.cortextech.io/799ab5da-55d8-4563-b1c0-8b93f3632d84.png,https://www.euroleaguebasketball.net/es/euroleague/players/aliou-diarra/014108/
john-dibartolomeo,007990,https://media-cdn.cortextech.io/8d21b46c-77f3-4241-834a-c819a514fc58.png,https://www.euroleaguebasketball.net/es/euroleague/players/john-dibartolomeo/007990/
neno-dimitrijevic,006085,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCbqcoI/d0eaec8a-4e8d-4c13-b312-b4597ffbc2a9.png,https://www.euroleaguebasketball.net/es/euroleague/players/neno-dimitrijevic/006085/
khalifa-diop,008072,https://media-cdn.cortextech.io/d78b882f-2f17-4f2a-8685-55cd7f75be1b.png,https://www.euroleaguebasketball.net/es/euroleague/players/khalifa-diop/008072/
ousmane-diop,013385,https://media-cdn.cortextech.io/a4d81cad-3c3a-4e1a-946b-37e9cc06b35b.png,https://www.euroleaguebasketball.net/es/euroleague/players/ousmane-diop/013385/
mouhamet-diouf,013374,https://media-cdn.cortextech.io/b66cdc05-d0ad-4ffd-9cc7-11a8748b1768.png,https://www.euroleaguebasketball.net/es/euroleague/players/mouhamet-diouf/013374/
sava-djuric,013700,,https://www.euroleaguebasketball.net/es/euroleague/players/sava-djuric/013700/
ognjen-dobric,004007,https://media-cdn.cortextech.io/80c68581-78c5-44b8-b3ea-21555bfaff4f.png,https://www.euroleaguebasketball.net/es/euroleague/players/ognjen-dobric/004007/
allan-dokossi,014010,https://media-cdn.cortextech.io/03ed0fcb-7fff-4907-99ff-559619e35156.png,https://www.euroleaguebasketball.net/es/euroleague/players/allan-dokossi/014010/
tyler-dorsey,009849,https://media-cdn.cortextech.io/bc74ec12-71a8-425e-9ff8-e50eefec1f62.png,https://www.euroleaguebasketball.net/es/euroleague/players/tyler-dorsey/009849/
yago-dos-santos,012044,https://media-cdn.cortextech.io/e0f72d56-5553-431c-8cb8-b5db06684356.png,https://www.euroleaguebasketball.net/es/euroleague/players/yago-dos-santos/012044/
jeffrey-dowtin-jr,014123,https://media-cdn.cortextech.io/6976aa15-8d91-454e-987a-82f8e6059771.png,https://www.euroleaguebasketball.net/es/euroleague/players/jeffrey-dowtin-jr/014123/
pj-dozier,012742,https://media-cdn.cortextech.io/ac43e15a-c08d-42ed-a896-599ef9c4c3fc.png,https://www.euroleaguebasketball.net/es/euroleague/players/pj-dozier/012742/
